corruption_type,mean,lower,upper,percentile,category,cat_avg_mean,cat_avg_lower,cat_avg_upper
motion_blur_3,0.031561380751314476,0.02664358594710337,0.03622071694131266,58.94736842105262,Mid-Range,0.026637958465999374,0.025039731180639808,0.028222645174139162
motion_blur_4,0.03178494133788299,0.026771190833351756,0.03616286393379267,61.05263157894737,Mid-Range,0.026637958465999374,0.025039731180639808,0.028222645174139162
motion_blur_5,0.03616184376370021,0.030235178279842605,0.041186847206556604,68.42105263157895,Highest,0.05499295180253631,0.04919974539754932,0.06070795022268099
pixelate_1,0.0018510862303862585,0.0015608152806177436,0.002135363514614828,2.1052631578947367,Lowest,0.008366673470654411,0.0066815533598860175,0.01011223400762805
pixelate_2,0.003304021690598536,0.00282886361014573,0.003804543344958859,5.263157894736842,Lowest,0.008366673470654411,0.0066815533598860175,0.01011223400762805
pixelate_3,0.003477288067784116,0.003000977653143809,0.003932001376531128,7.368421052631578,Lowest,0.008366673470654411,0.0066815533598860175,0.01011223400762805
pixelate_4,0.005198535072543908,0.004696248219903471,0.00565737729364603,9.473684210526317,Lowest,0.008366673470654411,0.0066815533598860175,0.01011223400762805
pixelate_5,0.006308455437239844,0.0055790561329505306,0.0070538114137059385,14.736842105263156,Lowest,0.008366673470654411,0.0066815533598860175,0.01011223400762805
saturate_1,0.02714081130639955,0.02368175078670233,0.03050984614845265,50.526315789473685,Mid-Range,0.026637958465999374,0.025039731180639808,0.028222645174139162
saturate_2,0.03176459795122184,0.027916688148589976,0.0358037042621214,60.0,Mid-Range,0.026637958465999374,0.025039731180639808,0.028222645174139162
saturate_3,0.025891108204001215,0.02230834057300183,0.02991506787899044,47.368421052631575,Mid-Range,0.026637958465999374,0.025039731180639808,0.028222645174139162
saturate_4,0.05617661551521299,0.04762246855091312,0.06463183773786634,86.31578947368422,Highest,0.05499295180253631,0.04919974539754932,0.06070795022268099
saturate_5,0.0814068417073235,0.0697134031271214,0.09394298554795937,96.84210526315789,Highest,0.05499295180253631,0.04919974539754932,0.06070795022268099
shot_noise_1,0.005507092239858832,0.004386643186638622,0.0065540765267869325,10.526315789473683,Lowest,0.008366673470654411,0.0066815533598860175,0.01011223400762805
