Approach,Model,Corruption Type,Date,Fscore
Baseline,ResNet50,impulse_noise_3,2024-04-12 01:24:23.320739,0.7721918867493988
Baseline,ResNet50,jpeg_compression_3,2024-04-12 01:24:25.676517,0.9281860268196443
Baseline,ResNet50,motion_blur_3,2024-04-12 01:24:28.009351,0.6633681365906774
Baseline,ResNet50,pixelate_3,2024-04-12 01:24:30.381612,0.9527258329927278
Baseline,ResNet50,saturate_3,2024-04-12 01:24:32.718832,0.9686922058121336
Baseline,ResNet50,shot_noise_3,2024-04-12 01:24:35.059913,0.8697377045960687
Baseline,ResNet50,snow_3,2024-04-12 01:24:37.408199,0.8258682759378988
Baseline,ResNet50,spatter_3,2024-04-12 01:24:39.767438,0.8096195592935228
Baseline,ResNet50,speckle_noise_3,2024-04-12 01:24:42.107213,0.8992626702868961
Baseline,ResNet50,zoom_blur_3,2024-04-12 01:24:44.456325,0.7826791676959577
Baseline,ResNet50,brightness_3,2024-04-12 01:33:15.276191,0.9349427776358794
Baseline,ResNet50,contrast_3,2024-04-12 01:33:18.545602,0.5328151268974354
Baseline,ResNet50,defocus_blur_3,2024-04-12 01:33:20.896814,0.8917548554921485
Baseline,ResNet50,elastic_3,2024-04-12 01:33:23.216694,0.805016261772842
Baseline,ResNet50,fog_3,2024-04-12 01:33:25.607580,0.7591608405798997
Baseline,ResNet50,frost_3,2024-04-12 01:33:27.955210,0.7724473178123977
Baseline,ResNet50,frosted_glass_blur_3,2024-04-12 01:33:30.290482,0.7860416813762454
Baseline,ResNet50,gaussian_blur_3,2024-04-12 01:33:32.631748,0.8161131646633347
Baseline,ResNet50,gaussian_noise_3,2024-04-12 01:33:34.966855,0.8431292987306183
Baseline,ResNet50,impulse_noise_3,2024-04-12 01:33:37.304483,0.7952099017718589
Baseline,ResNet50,jpeg_compression_3,2024-04-12 01:33:39.641877,0.935568865730309
Baseline,ResNet50,motion_blur_3,2024-04-12 01:33:42.023052,0.6983241091354302
Baseline,ResNet50,pixelate_3,2024-04-12 01:33:44.349306,0.953932870836454
Baseline,ResNet50,saturate_3,2024-04-12 01:33:46.693074,0.9766935639642496
Baseline,ResNet50,shot_noise_3,2024-04-12 01:33:49.034188,0.9001347410708858
Baseline,ResNet50,snow_3,2024-04-12 01:33:51.379107,0.8194056615168133
Baseline,ResNet50,spatter_3,2024-04-12 01:33:53.716376,0.8270407900650902
Baseline,ResNet50,speckle_noise_3,2024-04-12 01:33:56.072176,0.9403061481512228
Baseline,ResNet50,zoom_blur_3,2024-04-12 01:33:58.405299,0.7747528098095234
Baseline,ResNet50,brightness_3,2024-04-12 01:41:46.610669,0.9125549775819009
Baseline,ResNet50,contrast_3,2024-04-12 01:41:48.967657,0.538998747965125
Baseline,ResNet50,defocus_blur_3,2024-04-12 01:41:51.329924,0.914463379425164
Baseline,ResNet50,elastic_3,2024-04-12 01:41:53.676025,0.823241935897365
Baseline,ResNet50,fog_3,2024-04-12 01:41:56.007161,0.7557038837840757
Baseline,ResNet50,frost_3,2024-04-12 01:41:58.358943,0.6785800815020951
Baseline,ResNet50,frosted_glass_blur_3,2024-04-12 01:42:00.712110,0.7341402566390025
Baseline,ResNet50,gaussian_blur_3,2024-04-12 01:42:03.052871,0.867902301134533
Baseline,ResNet50,gaussian_noise_3,2024-04-12 01:42:05.408051,0.7241787743959487
Baseline,ResNet50,impulse_noise_3,2024-04-12 01:42:07.755337,0.6826916279788618
Baseline,ResNet50,jpeg_compression_3,2024-04-12 01:42:10.087914,0.8782179958745324
Baseline,ResNet50,motion_blur_3,2024-04-12 01:42:12.441787,0.7455213769493788
Baseline,ResNet50,pixelate_3,2024-04-12 01:42:14.789387,0.8971669199695494
Baseline,ResNet50,saturate_3,2024-04-12 01:42:17.127792,0.9570159469864632
Baseline,ResNet50,shot_noise_3,2024-04-12 01:42:19.456748,0.7876307509388392
Baseline,ResNet50,snow_3,2024-04-12 01:42:21.804072,0.7566039065711543
Baseline,ResNet50,spatter_3,2024-04-12 01:42:24.153988,0.7331496441163394
Baseline,ResNet50,speckle_noise_3,2024-04-12 01:42:26.498897,0.8136907722412564
Baseline,ResNet50,zoom_blur_3,2024-04-12 01:42:28.836107,0.8348398531665833
Salt&Pepper,ResNet50,brightness_3,2024-04-12 01:54:23.662661,0.7841181243486309
Salt&Pepper,ResNet50,contrast_3,2024-04-12 01:54:26.022079,0.3467633413622132
Salt&Pepper,ResNet50,defocus_blur_3,2024-04-12 01:54:28.403985,0.7875756834955557
Salt&Pepper,ResNet50,elastic_3,2024-04-12 01:54:30.772370,0.7104599488213023
Salt&Pepper,ResNet50,fog_3,2024-04-12 01:54:33.116643,0.5246502488208622
Salt&Pepper,ResNet50,frost_3,2024-04-12 01:54:35.471094,0.6431373860044316
Salt&Pepper,ResNet50,frosted_glass_blur_3,2024-04-12 01:54:37.822731,0.7755735078342803
Salt&Pepper,ResNet50,gaussian_blur_3,2024-04-12 01:54:40.184923,0.7622257102579012
Salt&Pepper,ResNet50,gaussian_noise_3,2024-04-12 01:54:42.542958,0.8313712798832092
Salt&Pepper,ResNet50,impulse_noise_3,2024-04-12 01:54:44.915307,0.8250255666349666
Salt&Pepper,ResNet50,jpeg_compression_3,2024-04-12 01:54:47.271515,0.829564905810628
Salt&Pepper,ResNet50,motion_blur_3,2024-04-12 01:54:49.658301,0.6792157773730424
Salt&Pepper,ResNet50,pixelate_3,2024-04-12 01:54:52.019892,0.8227818472658143
Salt&Pepper,ResNet50,saturate_3,2024-04-12 01:54:54.550081,0.8120643624842003
Salt&Pepper,ResNet50,shot_noise_3,2024-04-12 01:54:56.919364,0.8346863600704525
Salt&Pepper,ResNet50,snow_3,2024-04-12 01:54:59.287521,0.7603055867362475
Salt&Pepper,ResNet50,spatter_3,2024-04-12 01:55:01.656334,0.789470927366329
Salt&Pepper,ResNet50,speckle_noise_3,2024-04-12 01:55:04.011349,0.8326534961137252
Salt&Pepper,ResNet50,zoom_blur_3,2024-04-12 01:55:06.372337,0.7317466541581009
Salt&Pepper,ResNet50,brightness_3,2024-04-12 02:03:45.687214,0.7604907226176947
Salt&Pepper,ResNet50,contrast_3,2024-04-12 02:03:48.970750,0.3609377141409338
Salt&Pepper,ResNet50,defocus_blur_3,2024-04-12 02:03:51.380451,0.7922910250295149
Salt&Pepper,ResNet50,elastic_3,2024-04-12 02:03:53.726584,0.7287371099542763
Salt&Pepper,ResNet50,fog_3,2024-04-12 02:03:56.073890,0.5666926701746938
Salt&Pepper,ResNet50,frost_3,2024-04-12 02:03:58.430578,0.6411538515553589
Salt&Pepper,ResNet50,frosted_glass_blur_3,2024-04-12 02:04:00.791919,0.7768611917234399
Salt&Pepper,ResNet50,gaussian_blur_3,2024-04-12 02:04:03.128007,0.7751313363941404
Salt&Pepper,ResNet50,gaussian_noise_3,2024-04-12 02:04:05.484285,0.8063511725794716
Salt&Pepper,ResNet50,impulse_noise_3,2024-04-12 02:04:07.836725,0.8055897769659135
Salt&Pepper,ResNet50,jpeg_compression_3,2024-04-12 02:04:10.181519,0.8070939320538442
Salt&Pepper,ResNet50,motion_blur_3,2024-04-12 02:04:12.536196,0.6886152071651661
Salt&Pepper,ResNet50,pixelate_3,2024-04-12 02:04:14.877696,0.8069337602406328
Salt&Pepper,ResNet50,saturate_3,2024-04-12 02:04:17.242673,0.7979870719464639
Salt&Pepper,ResNet50,shot_noise_3,2024-04-12 02:04:19.595086,0.8090463356025998
Salt&Pepper,ResNet50,snow_3,2024-04-12 02:04:21.933922,0.7325778796070763
Salt&Pepper,ResNet50,spatter_3,2024-04-12 02:04:24.279222,0.7551635765285942
