strategy,model,evaluation_set,date_finished,training_time,fold,accuracy,loss,precision(0),recall(0),f1-score(0),support(0),precision(1),recall(1),f1-score(1),support(1),precision(2),recall(2),f1-score(2),support(2),precision(3),recall(3),f1-score(3),support(3),precision(macro avg),recall(macro avg),f1-score(macro avg),support(macro avg),precision(weighted avg),recall(weighted avg),f1-score(weighted avg),support(weighted avg)
Mixed,LSTM,Case Randomization 1,2024-12-21 21:11:57.781329,364.2272801399231,7,0.8939473684210526,0.3330268859863281,0.9058009579563596,0.8957894736842106,0.9007673987827468,1900.0,0.9486389316897792,0.9721052631578948,0.9602287496750714,1900.0,0.8666666666666667,0.8347368421052631,0.850402144772118,1900.0,0.8533950617283951,0.8731578947368421,0.8631633714880333,1900.0,0.8936254045103001,0.8939473684210526,0.8936404161794924,7600.0,0.8936254045103001,0.8939473684210526,0.8936404161794924,7600.0
Mixed,LSTM,Case Randomization 2,2024-12-21 21:11:59.774689,364.2272801399231,7,0.8939473684210526,0.3330268859863281,0.9058009579563596,0.8957894736842106,0.9007673987827468,1900.0,0.9486389316897792,0.9721052631578948,0.9602287496750714,1900.0,0.8666666666666667,0.8347368421052631,0.850402144772118,1900.0,0.8533950617283951,0.8731578947368421,0.8631633714880333,1900.0,0.8936254045103001,0.8939473684210526,0.8936404161794924,7600.0,0.8936254045103001,0.8939473684210526,0.8936404161794924,7600.0
Mixed,LSTM,Case Randomization 3,2024-12-21 21:12:01.779149,364.2272801399231,7,0.8939473684210526,0.3330268859863281,0.9058009579563596,0.8957894736842106,0.9007673987827468,1900.0,0.9486389316897792,0.9721052631578948,0.9602287496750714,1900.0,0.8666666666666667,0.8347368421052631,0.850402144772118,1900.0,0.8533950617283951,0.8731578947368421,0.8631633714880333,1900.0,0.8936254045103001,0.8939473684210526,0.8936404161794924,7600.0,0.8936254045103001,0.8939473684210526,0.8936404161794924,7600.0
Mixed,LSTM,Case Randomization 4,2024-12-21 21:12:03.788673,364.2272801399231,7,0.8939473684210526,0.3330268859863281,0.9058009579563596,0.8957894736842106,0.9007673987827468,1900.0,0.9486389316897792,0.9721052631578948,0.9602287496750714,1900.0,0.8666666666666667,0.8347368421052631,0.850402144772118,1900.0,0.8533950617283951,0.8731578947368421,0.8631633714880333,1900.0,0.8936254045103001,0.8939473684210526,0.8936404161794924,7600.0,0.8936254045103001,0.8939473684210526,0.8936404161794924,7600.0
Mixed,LSTM,Case Randomization 5,2024-12-21 21:12:05.781288,364.2272801399231,7,0.8939473684210526,0.3330268859863281,0.9058009579563596,0.8957894736842106,0.9007673987827468,1900.0,0.9486389316897792,0.9721052631578948,0.9602287496750714,1900.0,0.8666666666666667,0.8347368421052631,0.850402144772118,1900.0,0.8533950617283951,0.8731578947368421,0.8631633714880333,1900.0,0.8936254045103001,0.8939473684210526,0.8936404161794924,7600.0,0.8936254045103001,0.8939473684210526,0.8936404161794924,7600.0
Mixed,LSTM,Entity Masking 1,2024-12-21 21:12:07.763411,364.2272801399231,7,0.8821052631578947,0.3678325414657593,0.8961456102783726,0.8810526315789474,0.8885350318471338,1900.0,0.943866943866944,0.9557894736842104,0.9497907949790796,1900.0,0.8461950696677385,0.8310526315789474,0.8385554965480616,1900.0,0.8419155509783728,0.8605263157894737,0.8511192087454451,1900.0,0.882030793697857,0.8821052631578948,0.88200013302993,7600.0,0.8820307936978569,0.8821052631578947,0.88200013302993,7600.0
Mixed,LSTM,Entity Masking 2,2024-12-21 21:12:09.773688,364.2272801399231,7,0.8838157894736842,0.3658460676670074,0.9044038668098818,0.8863157894736842,0.8952684742158427,1900.0,0.9454545454545454,0.9578947368421052,0.9516339869281044,1900.0,0.8451681793913508,0.8331578947368421,0.8391200636098596,1900.0,0.8402061855670103,0.8578947368421053,0.8489583333333334,1900.0,0.8838081943056971,0.8838157894736842,0.883745214521785,7600.0,0.8838081943056971,0.8838157894736842,0.883745214521785,7600.0
Mixed,LSTM,Entity Masking 3,2024-12-21 21:12:11.784183,364.2272801399231,7,0.8810526315789474,0.3762128353118896,0.8981779206859593,0.8821052631578947,0.8900690387679235,1900.0,0.945054945054945,0.9505263157894736,0.9477827341905012,1900.0,0.8429179978700746,0.8331578947368421,0.838009528851244,1900.0,0.838560411311054,0.858421052631579,0.8483745123537061,1900.0,0.8811778187305082,0.8810526315789473,0.8810589535408437,7600.0,0.8811778187305083,0.8810526315789474,0.8810589535408437,7600.0
Mixed,LSTM,Entity Masking 4,2024-12-21 21:12:13.820376,364.2272801399231,7,0.8767105263157895,0.384657084941864,0.893068242880172,0.8747368421052631,0.8838074980058495,1900.0,0.944794952681388,0.9457894736842104,0.9452919516044188,1900.0,0.834920634920635,0.8305263157894737,0.8327176781002639,1900.0,0.8351309707241911,0.8557894736842105,0.8453340265141669,1900.0,0.8769787003015965,0.8767105263157895,0.8767877885561748,7600.0,0.8769787003015965,0.8767105263157895,0.8767877885561748,7600.0
Mixed,LSTM,Entity Masking 5,2024-12-21 21:12:15.847351,364.2272801399231,7,0.8606578947368421,0.4347213804721832,0.8737346830047948,0.8631578947368421,0.8684140852528461,1900.0,0.9429511793746572,0.9047368421052632,0.9234488315874296,1900.0,0.8161038961038961,0.8268421052631579,0.821437908496732,1900.0,0.8156962025316455,0.8478947368421053,0.8314838709677419,1900.0,0.8621214902537484,0.8606578947368421,0.8611961740761874,7600.0,0.8621214902537483,0.8606578947368421,0.8611961740761874,7600.0
