strategy,model,evaluation_set,date_finished,training_time,fold,accuracy,loss,precision(0),recall(0),f1-score(0),support(0),precision(1),recall(1),f1-score(1),support(1),precision(2),recall(2),f1-score(2),support(2),precision(3),recall(3),f1-score(3),support(3),precision(macro avg),recall(macro avg),f1-score(macro avg),support(macro avg),precision(weighted avg),recall(weighted avg),f1-score(weighted avg),support(weighted avg)
DefaultAug,GRU,Insertion 2,2024-12-23 21:25:17.121911,318.6880102157593,3,0.8088157894736843,0.5687117576599121,0.7944199706314243,0.8542105263157894,0.823231042353538,1900.0,0.8724565756823821,0.9252631578947368,0.8980842911877395,1900.0,0.885193982581156,0.588421052631579,0.7069238065128043,1900.0,0.7231241772707327,0.8673684210526316,0.7887054319215123,1900.0,0.8187986765414238,0.8088157894736843,0.8042361429938985,7600.0,0.8187986765414238,0.8088157894736843,0.8042361429938986,7600.0
DefaultAug,GRU,Insertion 3,2024-12-23 21:25:19.213314,318.6880102157593,3,0.785,0.6532576084136963,0.7559467174119886,0.8363157894736842,0.7941029485257372,1900.0,0.8514510575504181,0.9110526315789472,0.8802440884820748,1900.0,0.8989266547406082,0.5289473684210526,0.6660039761431411,1900.0,0.6991904559011504,0.8636842105263158,0.7727807864374853,1900.0,0.8013787214010413,0.7849999999999999,0.7782829498971097,7600.0,0.8013787214010413,0.785,0.7782829498971096,7600.0
DefaultAug,GRU,Insertion 4,2024-12-23 21:25:21.333621,318.6880102157593,3,0.763421052631579,0.7264230847358704,0.7449373191899711,0.8131578947368421,0.7775541016607952,1900.0,0.8471400394477318,0.9042105263157896,0.8747454175152749,1900.0,0.8982706002034588,0.4647368421052631,0.6125563648976761,1900.0,0.6584493041749503,0.871578947368421,0.7501698754246886,1900.0,0.787199315754028,0.7634210526315789,0.7537564398746086,7600.0,0.787199315754028,0.763421052631579,0.7537564398746087,7600.0
DefaultAug,GRU,Insertion 5,2024-12-23 21:25:23.432901,318.6880102157593,3,0.7263157894736842,0.8083712458610535,0.8320819112627986,0.641578947368421,0.7245170876671619,1900.0,0.7480280455740579,0.8984210526315789,0.8163558106169297,1900.0,0.8918128654970761,0.481578947368421,0.6254272043745728,1900.0,0.5939158118146445,0.8836842105263157,0.7103871377194838,1900.0,0.7664596585371443,0.7263157894736841,0.719171810094537,7600.0,0.7664596585371443,0.7263157894736842,0.7191718100945371,7600.0
DefaultAug,GRU,Sentence Noise Injection 1,2024-12-23 21:25:25.518704,318.6880102157593,3,0.8468421052631578,0.4538744390010834,0.8877551020408163,0.8242105263157895,0.8548034934497817,1900.0,0.8019632949210413,0.9889473684210528,0.8856940843742634,1900.0,0.907921462423832,0.7057894736842105,0.7941960319810483,1900.0,0.8184523809523809,0.868421052631579,0.8426966292134831,1900.0,0.8540230600845177,0.8468421052631578,0.8443475597546442,7600.0,0.8540230600845177,0.8468421052631578,0.8443475597546442,7600.0
DefaultAug,GRU,Sentence Noise Injection 2,2024-12-23 21:25:27.665181,318.6880102157593,3,0.7281578947368421,0.7483755946159363,0.8959587274290628,0.5484210526315789,0.6803787136793993,1900.0,0.5608308605341247,0.9947368421052633,0.7172675521821632,1900.0,0.9195804195804196,0.5536842105263158,0.6911957950065704,1900.0,0.8060322412896516,0.8157894736842105,0.8108815066701544,1900.0,0.7956005622083147,0.7281578947368421,0.7249308918845718,7600.0,0.7956005622083147,0.7281578947368421,0.7249308918845718,7600.0
DefaultAug,GRU,Sentence Noise Injection 3,2024-12-23 21:25:29.870807,318.6880102157593,3,0.5947368421052631,1.0902031660079956,0.9259927797833934,0.27,0.4180929095354523,1900.0,0.4126742160278746,0.9973684210526316,0.5837954405422058,1900.0,0.91921664626683,0.3952631578947368,0.5528156054471844,1900.0,0.8313989004276114,0.7163157894736842,0.7695787390443879,1900.0,0.7723206356264274,0.5947368421052632,0.5810706736423076,7600.0,0.7723206356264273,0.5947368421052631,0.5810706736423077,7600.0
DefaultAug,GRU,Sentence Noise Injection 4,2024-12-23 21:25:32.173172,318.6880102157593,3,0.501578947368421,1.357100486755371,0.9351851851851852,0.1063157894736842,0.1909262759924385,1900.0,0.3522199516997956,0.9978947368421052,0.5206645613071537,1900.0,0.9075342465753424,0.2789473684210526,0.4267310789049919,1900.0,0.8355681016231475,0.6231578947368421,0.7138981006933977,1900.0,0.7576268712708677,0.5015789473684211,0.4630550042244954,7600.0,0.7576268712708677,0.501578947368421,0.4630550042244954,7600.0
DefaultAug,GRU,Sentence Noise Injection 5,2024-12-23 21:25:34.485699,318.6880102157593,3,0.4480263157894736,1.612210035324097,0.9327731092436976,0.0584210526315789,0.1099554234769688,1900.0,0.3236047107014849,0.9978947368421052,0.4887227735532929,1900.0,0.9160997732426304,0.2126315789473684,0.3451516445963263,1900.0,0.8416596104995766,0.5231578947368422,0.6452450503083415,1900.0,0.7535343009218474,0.4480263157894737,0.3972687229837324,7600.0,0.7535343009218474,0.4480263157894736,0.3972687229837324,7600.0
DefaultAug,GRU,Case Randomization 1,2024-12-23 21:25:36.568881,318.6880102157593,3,0.8926315789473684,0.3273884654045105,0.9126005361930296,0.8957894736842106,0.904116865869854,1900.0,0.949740932642487,0.9647368421052632,0.9571801566579634,1900.0,0.8793686583990981,0.8210526315789474,0.8492106695699511,1900.0,0.8316100443131462,0.8889473684210526,0.8593233273976087,1900.0,0.8933300428869402,0.8926315789473684,0.8924577548738443,7600.0,0.8933300428869403,0.8926315789473684,0.8924577548738444,7600.0
