fold,corruption_type,kl_divergences
5,defocus_blur_5,0.27722782
5,elastic_1,1.5892962
5,elastic_2,1.4162955
5,elastic_3,1.2060965
5,elastic_4,1.0738775
5,elastic_5,0.80123496
5,fog_1,0.071379066
5,fog_2,0.29462075
5,fog_3,0.5313382
5,fog_4,0.7979946
5,fog_5,1.2771047
5,frost_1,0.3636126
5,frost_2,0.72224134
5,frost_3,0.97393167
5,frost_4,0.9089592
5,frost_5,1.0097271
5,frosted_glass_blur_1,0.60871524
5,frosted_glass_blur_2,0.6043122
5,frosted_glass_blur_3,0.5788248
5,frosted_glass_blur_4,1.2831475
5,frosted_glass_blur_5,1.2335892
5,gaussian_blur_1,0.0032804755
5,gaussian_blur_2,0.05482953
5,gaussian_blur_3,0.09698394
5,gaussian_blur_4,0.14557879
5,gaussian_blur_5,0.25994593
5,gaussian_noise_1,0.07915136
5,gaussian_noise_2,0.15663563
5,gaussian_noise_3,0.24674013
5,gaussian_noise_4,0.294116
5,gaussian_noise_5,0.34367862
5,impulse_noise_1,0.1354588
5,impulse_noise_2,0.24704748
5,impulse_noise_3,0.3425312
5,impulse_noise_4,0.5083967
5,impulse_noise_5,0.6478816
5,jpeg_compression_1,0.055187255
5,jpeg_compression_2,0.100134216
5,jpeg_compression_3,0.120418064
5,jpeg_compression_4,0.14425066
5,jpeg_compression_5,0.18060757
5,motion_blur_1,0.19258954
5,motion_blur_2,0.39637533
5,motion_blur_3,0.572947
5,motion_blur_4,0.57229495
5,motion_blur_5,0.7199379
5,pixelate_1,0.055118553
5,pixelate_2,0.105802014
5,pixelate_3,0.1055472
5,pixelate_4,0.15522167
5,pixelate_5,0.27099
5,saturate_1,0.2733299
5,saturate_2,0.44940895
5,saturate_3,0.09098207
5,saturate_4,0.4110059
5,saturate_5,0.7476488
5,shot_noise_1,0.051332537
5,shot_noise_2,0.09282243
5,shot_noise_3,0.19416536
5,shot_noise_4,0.24150023
5,shot_noise_5,0.3244978
5,snow_1,0.14260395
5,snow_2,0.37729967
5,snow_3,0.5069661
5,snow_4,0.7315095
5,snow_5,1.0182565
5,spatter_1,0.09401375
5,spatter_2,0.24131036
5,spatter_3,0.43310174
5,spatter_4,0.3219143
5,spatter_5,0.504853
5,speckle_noise_1,0.055607248
5,speckle_noise_2,0.12863171
5,speckle_noise_3,0.17075793
5,speckle_noise_4,0.2602586
5,speckle_noise_5,0.35672575
5,zoom_blur_1,0.2970461
5,zoom_blur_2,0.40979865
5,zoom_blur_3,0.56220716
5,zoom_blur_4,0.73128176
5,zoom_blur_5,0.8768884
6,brightness_1,0.14176098
6,brightness_2,0.5357412
6,brightness_3,0.71813685
6,brightness_4,0.8814688
6,brightness_5,1.2325364
6,contrast_1,0.19031915
6,contrast_2,0.5717978
6,contrast_3,0.7533026
6,contrast_4,1.0011182
6,contrast_5,1.5301266
6,defocus_blur_1,0.0038448386
6,defocus_blur_2,0.023389589
6,defocus_blur_3,0.057360303
6,defocus_blur_4,0.10174242
6,defocus_blur_5,0.25905728
6,elastic_1,1.6176705
6,elastic_2,1.4259701
6,elastic_3,1.2067382
6,elastic_4,1.067773
6,elastic_5,0.7881048
6,fog_1,0.4687214
6,fog_2,0.7751841
6,fog_3,0.99891585
6,fog_4,1.2361188
6,fog_5,1.6482179
6,frost_1,0.7524873
6,frost_2,1.0502354
6,frost_3,1.2803694
6,frost_4,1.2552544
6,frost_5,1.3801049
6,frosted_glass_blur_1,0.5999654
6,frosted_glass_blur_2,0.5949521
6,frosted_glass_blur_3,0.56128883
6,frosted_glass_blur_4,1.2799467
6,frosted_glass_blur_5,1.2145013
6,gaussian_blur_1,0.0036509014
6,gaussian_blur_2,0.0553479
6,gaussian_blur_3,0.09602133
6,gaussian_blur_4,0.14179951
6,gaussian_blur_5,0.2470529
6,gaussian_noise_1,0.087211646
6,gaussian_noise_2,0.1798224
6,gaussian_noise_3,0.2944268
6,gaussian_noise_4,0.36412865
6,gaussian_noise_5,0.43162408
6,impulse_noise_1,0.14500251
6,impulse_noise_2,0.2780828
6,impulse_noise_3,0.41653267
6,impulse_noise_4,0.6652955
6,impulse_noise_5,0.9154809
6,jpeg_compression_1,0.07415553
6,jpeg_compression_2,0.12399359
6,jpeg_compression_3,0.14429323
6,jpeg_compression_4,0.16781968
6,jpeg_compression_5,0.20383702
6,motion_blur_1,0.19037998
6,motion_blur_2,0.39390323
6,motion_blur_3,0.5708046
6,motion_blur_4,0.57026684
6,motion_blur_5,0.719747
6,pixelate_1,0.058338586
6,pixelate_2,0.09987526
6,pixelate_3,0.111273035
6,pixelate_4,0.19030505
6,pixelate_5,0.24325337
6,saturate_1,0.27200666
6,saturate_2,0.44957703
6,saturate_3,0.10266063
6,saturate_4,0.4520108
6,saturate_5,0.8198661
6,shot_noise_1,0.051031597
6,shot_noise_2,0.092890725
6,shot_noise_3,0.19627826
6,shot_noise_4,0.24505615
6,shot_noise_5,0.3312158
6,snow_1,0.21649945
6,snow_2,0.70604527
6,snow_3,0.8468224
6,snow_4,1.109344
6,snow_5,1.3099024
6,spatter_1,0.1014737
6,spatter_2,0.28188536
6,spatter_3,0.5837884
6,spatter_4,0.3212886
6,spatter_5,0.5038671
6,speckle_noise_1,0.05464725
6,speckle_noise_2,0.12673618
6,speckle_noise_3,0.16865875
6,speckle_noise_4,0.25889698
6,speckle_noise_5,0.3572728
6,zoom_blur_1,0.29414743
6,zoom_blur_2,0.40801916
6,zoom_blur_3,0.5626142
6,zoom_blur_4,0.73365635
6,zoom_blur_5,0.88402766
7,brightness_1,0.06673881
7,brightness_2,0.22100411
7,brightness_3,0.43833116
7,brightness_4,0.6906311
7,brightness_5,1.2470138
7,contrast_1,0.2597818
7,contrast_2,0.61664194
7,contrast_3,0.8170235
7,contrast_4,1.0952053
7,contrast_5,1.7598747
7,defocus_blur_1,0.0044159438
7,defocus_blur_2,0.028506411
7,defocus_blur_3,0.0724326
7,defocus_blur_4,0.13021837
7,defocus_blur_5,0.38523784
7,elastic_1,1.9231476
7,elastic_2,1.7197229
7,elastic_3,1.4838102
7,elastic_4,1.3284165
7,elastic_5,0.9980894
7,fog_1,0.4196049
7,fog_2,0.7340082
7,fog_3,1.0260059
7,fog_4,1.349784
7,fog_5,1.9523586
7,frost_1,0.52590543
7,frost_2,1.0411323
7,frost_3,1.2551758
7,frost_4,1.1210622
7,frost_5,1.224032
7,frosted_glass_blur_1,0.75274634
7,frosted_glass_blur_2,0.74736094
7,frosted_glass_blur_3,0.7256483
7,frosted_glass_blur_4,1.556569
7,frosted_glass_blur_5,1.5132377
7,gaussian_blur_1,0.0042066574
7,gaussian_blur_2,0.06930243
7,gaussian_blur_3,0.1235098
7,gaussian_blur_4,0.1861055
7,gaussian_blur_5,0.3319739
7,gaussian_noise_1,0.1255958
7,gaussian_noise_2,0.25698054
7,gaussian_noise_3,0.4189941
7,gaussian_noise_4,0.5020062
7,gaussian_noise_5,0.60280555
7,impulse_noise_1,0.18792625
7,impulse_noise_2,0.36197752
7,impulse_noise_3,0.5117464
7,impulse_noise_4,0.81451094
7,impulse_noise_5,1.074133
7,jpeg_compression_1,0.087762445
7,jpeg_compression_2,0.1532997
7,jpeg_compression_3,0.18092154
7,jpeg_compression_4,0.21341975
7,jpeg_compression_5,0.26268363
7,motion_blur_1,0.2350739
7,motion_blur_2,0.4851265
7,motion_blur_3,0.7036496
7,motion_blur_4,0.70344806
7,motion_blur_5,0.88990015
7,pixelate_1,0.07369451
7,pixelate_2,0.133709
7,pixelate_3,0.1387753
7,pixelate_4,0.2033964
7,pixelate_5,0.37786946
7,saturate_1,0.30092728
7,saturate_2,0.5040082
7,saturate_3,0.10457518
7,saturate_4,0.8030914
7,saturate_5,1.1731963
7,shot_noise_1,0.090437256
7,shot_noise_2,0.17563139
7,shot_noise_3,0.41193426
7,shot_noise_4,0.52766603
7,shot_noise_5,0.7135802
7,snow_1,0.20673203
7,snow_2,0.5294037
7,snow_3,0.6661179
7,snow_4,0.98947316
7,snow_5,1.4449108
7,spatter_1,0.11907208
7,spatter_2,0.29434535
7,spatter_3,0.5065205
7,spatter_4,0.5307725
7,spatter_5,0.8573181
7,speckle_noise_1,0.11668269
7,speckle_noise_2,0.32910305
7,speckle_noise_3,0.4346409
7,speckle_noise_4,0.6571073
7,speckle_noise_5,0.7945604
7,zoom_blur_1,0.36810896
7,zoom_blur_2,0.5143605
7,zoom_blur_3,0.70477796
7,zoom_blur_4,0.91443145
7,zoom_blur_5,1.0964165
8,brightness_1,0.05878981
8,brightness_2,0.19121073
8,brightness_3,0.37566328
8,brightness_4,0.5940731
8,brightness_5,1.0829344
8,contrast_1,0.24850397
8,contrast_2,0.5183403
8,contrast_3,0.6830746
8,contrast_4,0.9078462
8,contrast_5,1.4898738
8,defocus_blur_1,0.004652146
8,defocus_blur_2,0.02996793
8,defocus_blur_3,0.075726904
8,defocus_blur_4,0.13835262
8,defocus_blur_5,0.36538395
8,elastic_1,1.9183367
8,elastic_2,1.7142814
8,elastic_3,1.4721134
8,elastic_4,1.3111142
8,elastic_5,0.98850554
8,fog_1,0.30761194
8,fog_2,0.5003163
8,fog_3,0.6974907
8,fog_4,0.92956966
8,fog_5,1.3763791
8,frost_1,0.4761582
8,frost_2,0.9322286
8,frost_3,1.1516081
8,frost_4,1.0348295
8,frost_5,1.1564323
8,frosted_glass_blur_1,0.7751296
8,frosted_glass_blur_2,0.76676166
8,frosted_glass_blur_3,0.7301396
8,frosted_glass_blur_4,1.5475024
8,frosted_glass_blur_5,1.4970593
8,gaussian_blur_1,0.004475225
8,gaussian_blur_2,0.07301176
8,gaussian_blur_3,0.12815896
8,gaussian_blur_4,0.18969144
8,gaussian_blur_5,0.32697845
8,gaussian_noise_1,0.14015
8,gaussian_noise_2,0.30872163
8,gaussian_noise_3,0.5338587
8,gaussian_noise_4,0.6278601
8,gaussian_noise_5,0.7085927
8,impulse_noise_1,0.2108233
8,impulse_noise_2,0.45049548
8,impulse_noise_3,0.60298467
8,impulse_noise_4,0.86993605
8,impulse_noise_5,1.0355926
8,jpeg_compression_1,0.10531702
8,jpeg_compression_2,0.17249924
8,jpeg_compression_3,0.20002437
8,jpeg_compression_4,0.23175651
8,jpeg_compression_5,0.27820376
8,motion_blur_1,0.23010209
8,motion_blur_2,0.47198197
8,motion_blur_3,0.67793995
8,motion_blur_4,0.6767811
8,motion_blur_5,0.84877694
8,pixelate_1,0.09023912
8,pixelate_2,0.14349382
8,pixelate_3,0.17247967
8,pixelate_4,0.27071553
8,pixelate_5,0.3995678
8,saturate_1,0.27554685
8,saturate_2,0.47724658
8,saturate_3,0.09412374
8,saturate_4,0.6517884
8,saturate_5,0.9702341
8,shot_noise_1,0.105639935
8,shot_noise_2,0.23066972
8,shot_noise_3,0.49628407
8,shot_noise_4,0.5709686
8,shot_noise_5,0.68411225
8,snow_1,0.20204519
8,snow_2,0.50945413
8,snow_3,0.6521227
8,snow_4,0.94376147
8,snow_5,1.3324946
8,spatter_1,0.11998265
8,spatter_2,0.300367
8,spatter_3,0.52336097
8,spatter_4,0.5107509
8,spatter_5,0.79202414
8,speckle_noise_1,0.16017868
8,speckle_noise_2,0.3985435
8,speckle_noise_3,0.47007245
8,speckle_noise_4,0.59768313
8,speckle_noise_5,0.7226962
8,zoom_blur_1,0.35282472
8,zoom_blur_2,0.49428323
8,zoom_blur_3,0.6766332
8,zoom_blur_4,0.876584
8,zoom_blur_5,1.0466425
9,brightness_1,0.21646519
9,brightness_2,1.0838526
9,brightness_3,1.3412569
9,brightness_4,1.4246323
9,brightness_5,1.6876396
9,contrast_1,0.16530342
9,contrast_2,0.777491
9,contrast_3,0.88608766
9,contrast_4,1.0535897
9,contrast_5,1.4936438
9,defocus_blur_1,0.0037604286
9,defocus_blur_2,0.019689765
9,defocus_blur_3,0.046514925
9,defocus_blur_4,0.077887826
9,defocus_blur_5,0.20292749
9,elastic_1,1.1119459
9,elastic_2,0.99161726
9,elastic_3,0.8359667
9,elastic_4,0.7429156
9,elastic_5,0.5534109
9,fog_1,0.806634
9,fog_2,1.2675407
9,fog_3,1.4602545
9,fog_4,1.6159003
9,fog_5,1.9241349
9,frost_1,1.3333158
9,frost_2,1.5736469
9,frost_3,1.7326199
9,frost_4,1.6959264
9,frost_5,1.7589383
9,frosted_glass_blur_1,0.4255971
9,frosted_glass_blur_2,0.41990337
9,frosted_glass_blur_3,0.3972085
9,frosted_glass_blur_4,0.91529405
9,frosted_glass_blur_5,0.86507136
9,gaussian_blur_1,0.0035387299
