Approach,Model,Corruption Type,Date,Training Time,Fscore
Baseline,ResNet50,impulse_noise_3,2024-04-14 03:46:54.417291,611.480131149292,0.5255305983383232
Baseline,ResNet50,jpeg_compression_3,2024-04-14 03:46:56.728736,611.480131149292,0.6841351053288011
Baseline,ResNet50,motion_blur_3,2024-04-14 03:46:59.059485,611.480131149292,0.5658411515265006
Baseline,ResNet50,pixelate_3,2024-04-14 03:47:01.382955,611.480131149292,0.6717875153880687
Baseline,ResNet50,saturate_3,2024-04-14 03:47:03.709282,611.480131149292,0.7202679656027946
Baseline,ResNet50,shot_noise_3,2024-04-14 03:47:06.032843,611.480131149292,0.6124439417805224
Baseline,ResNet50,snow_3,2024-04-14 03:47:08.346843,611.480131149292,0.5633237445070015
Baseline,ResNet50,spatter_3,2024-04-14 03:47:10.674245,611.480131149292,0.5808380275404752
Baseline,ResNet50,speckle_noise_3,2024-04-14 03:47:13.003246,611.480131149292,0.6373954567193726
Baseline,ResNet50,zoom_blur_3,2024-04-14 03:47:15.314160,611.480131149292,0.5750441120955493
Baseline,ResNet50,brightness_3,2024-04-14 03:59:34.857157,735.0932514667511,0.7692422838809556
Baseline,ResNet50,contrast_3,2024-04-14 03:59:37.168342,735.0932514667511,0.386590933138515
Baseline,ResNet50,defocus_blur_3,2024-04-14 03:59:39.495677,735.0932514667511,0.7029993344901742
Baseline,ResNet50,elastic_3,2024-04-14 03:59:41.816261,735.0932514667511,0.6364728844288299
Baseline,ResNet50,fog_3,2024-04-14 03:59:44.127547,735.0932514667511,0.5807161506277314
Baseline,ResNet50,frost_3,2024-04-14 03:59:46.459385,735.0932514667511,0.5716369267470891
Baseline,ResNet50,frosted_glass_blur_3,2024-04-14 03:59:48.774540,735.0932514667511,0.6764273565362553
Baseline,ResNet50,gaussian_blur_3,2024-04-14 03:59:51.090207,735.0932514667511,0.6313398183763067
Baseline,ResNet50,gaussian_noise_3,2024-04-14 03:59:53.425397,735.0932514667511,0.6748275842781892
Baseline,ResNet50,impulse_noise_3,2024-04-14 03:59:55.754041,735.0932514667511,0.6361633074233348
Baseline,ResNet50,jpeg_compression_3,2024-04-14 03:59:58.075013,735.0932514667511,0.769717276210315
Baseline,ResNet50,motion_blur_3,2024-04-14 04:00:00.396910,735.0932514667511,0.5234406765087066
Baseline,ResNet50,pixelate_3,2024-04-14 04:00:02.711549,735.0932514667511,0.7833023569279423
Baseline,ResNet50,saturate_3,2024-04-14 04:00:05.024895,735.0932514667511,0.8109496928973752
Baseline,ResNet50,shot_noise_3,2024-04-14 04:00:07.400539,735.0932514667511,0.7155021666156498
Baseline,ResNet50,snow_3,2024-04-14 04:00:09.735725,735.0932514667511,0.6994130443476637
Baseline,ResNet50,spatter_3,2024-04-14 04:00:12.054266,735.0932514667511,0.701313251061764
Baseline,ResNet50,speckle_noise_3,2024-04-14 04:00:14.369680,735.0932514667511,0.7350318273081763
Baseline,ResNet50,zoom_blur_3,2024-04-14 04:00:16.690653,735.0932514667511,0.5982410919329241
Baseline,ResNet50,brightness_3,2024-04-14 04:11:11.059764,649.7736053466797,0.6763217154087242
Baseline,ResNet50,contrast_3,2024-04-14 04:11:13.413957,649.7736053466797,0.3960820398993573
Baseline,ResNet50,defocus_blur_3,2024-04-14 04:11:15.790814,649.7736053466797,0.7104455316192746
Baseline,ResNet50,elastic_3,2024-04-14 04:11:18.134814,649.7736053466797,0.6465324595025568
Baseline,ResNet50,fog_3,2024-04-14 04:11:20.480428,649.7736053466797,0.5428560047152138
Baseline,ResNet50,frost_3,2024-04-14 04:11:22.844997,649.7736053466797,0.4753557619393597
Baseline,ResNet50,frosted_glass_blur_3,2024-04-14 04:11:25.191034,649.7736053466797,0.6058370167137156
Baseline,ResNet50,gaussian_blur_3,2024-04-14 04:11:27.549205,649.7736053466797,0.6709015323430456
Baseline,ResNet50,gaussian_noise_3,2024-04-14 04:11:29.901713,649.7736053466797,0.5153744622888712
Baseline,ResNet50,impulse_noise_3,2024-04-14 04:11:32.265929,649.7736053466797,0.470519571075763
Baseline,ResNet50,jpeg_compression_3,2024-04-14 04:11:34.604239,649.7736053466797,0.7085468377011154
Baseline,ResNet50,motion_blur_3,2024-04-14 04:11:36.950455,649.7736053466797,0.5327934868238074
Baseline,ResNet50,pixelate_3,2024-04-14 04:11:39.304160,649.7736053466797,0.7165902124178439
Baseline,ResNet50,saturate_3,2024-04-14 04:11:41.638454,649.7736053466797,0.7389195432576663
Baseline,ResNet50,shot_noise_3,2024-04-14 04:11:43.984785,649.7736053466797,0.584550559712698
Baseline,ResNet50,snow_3,2024-04-14 04:11:46.340475,649.7736053466797,0.5365408118553052
Baseline,ResNet50,spatter_3,2024-04-14 04:11:48.713002,649.7736053466797,0.5422896290333501
Baseline,ResNet50,speckle_noise_3,2024-04-14 04:11:51.066053,649.7736053466797,0.6186627177858229
Baseline,ResNet50,zoom_blur_3,2024-04-14 04:11:53.410009,649.7736053466797,0.6604001145719687
Baseline,ResNet50,brightness_3,2024-04-14 04:24:11.604764,733.6813941001892,0.7333990264126778
