Approach,Model,Corruption Type,Date,Training Time,Fscore
Salt&Pepper,ResNet50,gaussian_blur_3,2024-04-16 20:46:38.330201,519.6405611038208,0.5854953156468591
Salt&Pepper,ResNet50,gaussian_noise_3,2024-04-16 20:46:40.674593,519.6405611038208,0.6139118752730179
Salt&Pepper,ResNet50,impulse_noise_3,2024-04-16 20:46:43.011924,519.6405611038208,0.5971867326037984
Salt&Pepper,ResNet50,jpeg_compression_3,2024-04-16 20:46:45.359984,519.6405611038208,0.6185290060180217
Salt&Pepper,ResNet50,motion_blur_3,2024-04-16 20:46:47.704381,519.6405611038208,0.5447133450870513
Salt&Pepper,ResNet50,pixelate_3,2024-04-16 20:46:50.036837,519.6405611038208,0.624952250520638
Salt&Pepper,ResNet50,saturate_3,2024-04-16 20:46:52.403269,519.6405611038208,0.6119766336457436
Salt&Pepper,ResNet50,shot_noise_3,2024-04-16 20:46:54.790980,519.6405611038208,0.6117694688983313
Salt&Pepper,ResNet50,snow_3,2024-04-16 20:46:57.148671,519.6405611038208,0.5522715500119897
Salt&Pepper,ResNet50,spatter_3,2024-04-16 20:46:59.495152,519.6405611038208,0.5504810791334271
Salt&Pepper,ResNet50,speckle_noise_3,2024-04-16 20:47:01.835689,519.6405611038208,0.617419664112571
Salt&Pepper,ResNet50,zoom_blur_3,2024-04-16 20:47:04.184371,519.6405611038208,0.5862827998909597
Salt&Pepper,ResNet50,in-sample,2024-04-16 20:55:48.999898,519.7430598735809,0.5614316186343923
Salt&Pepper,ResNet50,brightness_3,2024-04-16 20:55:51.881674,519.7430598735809,0.5466862502152223
Salt&Pepper,ResNet50,contrast_3,2024-04-16 20:55:54.227591,519.7430598735809,0.2617324669444735
Salt&Pepper,ResNet50,defocus_blur_3,2024-04-16 20:55:56.569170,519.7430598735809,0.5485668978542906
Salt&Pepper,ResNet50,elastic_3,2024-04-16 20:55:58.904074,519.7430598735809,0.5232551796695035
Salt&Pepper,ResNet50,fog_3,2024-04-16 20:56:01.237052,519.7430598735809,0.3796190966889053
Salt&Pepper,ResNet50,frost_3,2024-04-16 20:56:03.571886,519.7430598735809,0.4500302531162593
Salt&Pepper,ResNet50,frosted_glass_blur_3,2024-04-16 20:56:05.905044,519.7430598735809,0.5478949473088003
Salt&Pepper,ResNet50,gaussian_blur_3,2024-04-16 20:56:08.235454,519.7430598735809,0.5398784994896441
