,fold,corruption_type,kl_divergences
598,6,frost_4,1.2552544
599,6,frost_5,1.3801049
600,6,frosted_glass_blur_1,0.5999654
601,6,frosted_glass_blur_2,0.5949521
602,6,frosted_glass_blur_3,0.56128883
603,6,frosted_glass_blur_4,1.2799467
604,6,frosted_glass_blur_5,1.2145013
605,6,gaussian_blur_1,0.0036509014
606,6,gaussian_blur_2,0.0553479
607,6,gaussian_blur_3,0.09602133
608,6,gaussian_blur_4,0.14179951
609,6,gaussian_blur_5,0.2470529
610,6,gaussian_noise_1,0.087211646
611,6,gaussian_noise_2,0.1798224
612,6,gaussian_noise_3,0.2944268
613,6,gaussian_noise_4,0.36412865
614,6,gaussian_noise_5,0.43162408
615,6,impulse_noise_1,0.14500251
616,6,impulse_noise_2,0.2780828
617,6,impulse_noise_3,0.41653267
618,6,impulse_noise_4,0.6652955
619,6,impulse_noise_5,0.9154809
620,6,jpeg_compression_1,0.07415553
621,6,jpeg_compression_2,0.12399359
622,6,jpeg_compression_3,0.14429323
623,6,jpeg_compression_4,0.16781968
624,6,jpeg_compression_5,0.20383702
625,6,motion_blur_1,0.19037998
626,6,motion_blur_2,0.39390323
627,6,motion_blur_3,0.5708046
628,6,motion_blur_4,0.57026684
629,6,motion_blur_5,0.719747
630,6,pixelate_1,0.058338586
631,6,pixelate_2,0.09987526
632,6,pixelate_3,0.111273035
633,6,pixelate_4,0.19030505
634,6,pixelate_5,0.24325337
635,6,saturate_1,0.27200666
636,6,saturate_2,0.44957703
637,6,saturate_3,0.10266063
638,6,saturate_4,0.4520108
639,6,saturate_5,0.8198661
640,6,shot_noise_1,0.051031597
641,6,shot_noise_2,0.092890725
642,6,shot_noise_3,0.19627826
643,6,shot_noise_4,0.24505615
644,6,shot_noise_5,0.3312158
645,6,snow_1,0.21649945
646,6,snow_2,0.70604527
647,6,snow_3,0.8468224
648,6,snow_4,1.109344
649,6,snow_5,1.3099024
650,6,spatter_1,0.1014737
651,6,spatter_2,0.28188536
652,6,spatter_3,0.5837884
653,6,spatter_4,0.3212886
654,6,spatter_5,0.5038671
655,6,speckle_noise_1,0.05464725
656,6,speckle_noise_2,0.12673618
657,6,speckle_noise_3,0.16865875
658,6,speckle_noise_4,0.25889698
659,6,speckle_noise_5,0.3572728
660,6,zoom_blur_1,0.29414743
661,6,zoom_blur_2,0.40801916
662,6,zoom_blur_3,0.5626142
663,6,zoom_blur_4,0.73365635
664,6,zoom_blur_5,0.88402766
665,7,brightness_1,0.06673881
666,7,brightness_2,0.22100411
667,7,brightness_3,0.43833116
668,7,brightness_4,0.6906311
669,7,brightness_5,1.2470138
670,7,contrast_1,0.2597818
671,7,contrast_2,0.61664194
672,7,contrast_3,0.8170235
673,7,contrast_4,1.0952053
674,7,contrast_5,1.7598747
675,7,defocus_blur_1,0.0044159438
676,7,defocus_blur_2,0.028506411
677,7,defocus_blur_3,0.0724326
678,7,defocus_blur_4,0.13021837
679,7,defocus_blur_5,0.38523784
680,7,elastic_1,1.9231476
681,7,elastic_2,1.7197229
682,7,elastic_3,1.4838102
683,7,elastic_4,1.3284165
684,7,elastic_5,0.9980894
685,7,fog_1,0.4196049
686,7,fog_2,0.7340082
687,7,fog_3,1.0260059
688,7,fog_4,1.349784
689,7,fog_5,1.9523586
690,7,frost_1,0.52590543
691,7,frost_2,1.0411323
692,7,frost_3,1.2551758
693,7,frost_4,1.1210622
694,7,frost_5,1.224032
695,7,frosted_glass_blur_1,0.75274634
696,7,frosted_glass_blur_2,0.74736094
697,7,frosted_glass_blur_3,0.7256483
698,7,frosted_glass_blur_4,1.556569
699,7,frosted_glass_blur_5,1.5132377
700,7,gaussian_blur_1,0.0042066574
701,7,gaussian_blur_2,0.06930243
702,7,gaussian_blur_3,0.1235098
703,7,gaussian_blur_4,0.1861055
704,7,gaussian_blur_5,0.3319739
705,7,gaussian_noise_1,0.1255958
706,7,gaussian_noise_2,0.25698054
707,7,gaussian_noise_3,0.4189941
708,7,gaussian_noise_4,0.5020062
709,7,gaussian_noise_5,0.60280555
710,7,impulse_noise_1,0.18792625
711,7,impulse_noise_2,0.36197752
712,7,impulse_noise_3,0.5117464
713,7,impulse_noise_4,0.81451094
714,7,impulse_noise_5,1.074133
715,7,jpeg_compression_1,0.087762445
716,7,jpeg_compression_2,0.1532997
717,7,jpeg_compression_3,0.18092154
718,7,jpeg_compression_4,0.21341975
719,7,jpeg_compression_5,0.26268363
720,7,motion_blur_1,0.2350739
721,7,motion_blur_2,0.4851265
722,7,motion_blur_3,0.7036496
723,7,motion_blur_4,0.70344806
724,7,motion_blur_5,0.88990015
725,7,pixelate_1,0.07369451
726,7,pixelate_2,0.133709
727,7,pixelate_3,0.1387753
728,7,pixelate_4,0.2033964
729,7,pixelate_5,0.37786946
730,7,saturate_1,0.30092728
731,7,saturate_2,0.5040082
732,7,saturate_3,0.10457518
733,7,saturate_4,0.8030914
734,7,saturate_5,1.1731963
735,7,shot_noise_1,0.090437256
736,7,shot_noise_2,0.17563139
737,7,shot_noise_3,0.41193426
738,7,shot_noise_4,0.52766603
739,7,shot_noise_5,0.7135802
740,7,snow_1,0.20673203
741,7,snow_2,0.5294037
742,7,snow_3,0.6661179
743,7,snow_4,0.98947316
744,7,snow_5,1.4449108
745,7,spatter_1,0.11907208
746,7,spatter_2,0.29434535
747,7,spatter_3,0.5065205
748,7,spatter_4,0.5307725
749,7,spatter_5,0.8573181
750,7,speckle_noise_1,0.11668269
751,7,speckle_noise_2,0.32910305
752,7,speckle_noise_3,0.4346409
753,7,speckle_noise_4,0.6571073
754,7,speckle_noise_5,0.7945604
755,7,zoom_blur_1,0.36810896
756,7,zoom_blur_2,0.5143605
757,7,zoom_blur_3,0.70477796
758,7,zoom_blur_4,0.91443145
759,7,zoom_blur_5,1.0964165
760,8,brightness_1,0.05878981
761,8,brightness_2,0.19121073
762,8,brightness_3,0.37566328
763,8,brightness_4,0.5940731
764,8,brightness_5,1.0829344
765,8,contrast_1,0.24850397
766,8,contrast_2,0.5183403
767,8,contrast_3,0.6830746
768,8,contrast_4,0.9078462
769,8,contrast_5,1.4898738
770,8,defocus_blur_1,0.004652146
771,8,defocus_blur_2,0.02996793
772,8,defocus_blur_3,0.075726904
773,8,defocus_blur_4,0.13835262
774,8,defocus_blur_5,0.36538395
775,8,elastic_1,1.9183367
776,8,elastic_2,1.7142814
777,8,elastic_3,1.4721134
778,8,elastic_4,1.3111142
779,8,elastic_5,0.98850554
780,8,fog_1,0.30761194
781,8,fog_2,0.5003163
