strategy,model,evaluation_set,date_finished,training_time,fold,f1-score(weighted avg),accuracy,loss,precision(0),recall(0),f1-score(0),support(0),precision(1),recall(1),f1-score(1),support(1),precision(2),recall(2),f1-score(2),support(2),precision(3),recall(3),f1-score(3),support(3),precision(macro avg),recall(macro avg),f1-score(macro avg),support(macro avg),precision(weighted avg),recall(weighted avg),support(weighted avg)
Gaussian,LSTM,In-Distribution,2024-12-14 22:59:21.680350,4051.67382502556,1,0.8751825209489559,0.8751315789473684,0.3651367127895355,0.8982398239823982,0.8594736842105263,0.8784292630446475,1900.0,0.931321540062435,0.9421052631578948,0.936682365253794,1900.0,0.834375,0.8431578947368421,0.838743455497382,1900.0,0.8381443298969072,0.8557894736842105,0.8468749999999999,1900.0,0.8755201734854351,0.8751315789473685,0.8751825209489559,7600.0,0.8755201734854351,0.8751315789473684,7600.0
Gaussian,LSTM,In-Distribution,2024-12-15 00:14:17.866375,4485.825528144836,2,0.8830002113534613,0.8831578947368421,0.3491928875446319,0.8921933085501859,0.8842105263157894,0.8881839809674862,1900.0,0.9377593360995852,0.9515789473684212,0.9446185997910136,1900.0,0.8658603628367235,0.8289473684210527,0.847001882226405,1900.0,0.8370558375634518,0.8678947368421053,0.8521963824289406,1900.0,0.8832172112624865,0.8831578947368421,0.8830002113534614,7600.0,0.8832172112624865,0.8831578947368421,7600.0
Gaussian,LSTM,In-Distribution,2024-12-15 01:28:49.605369,4461.000360012054,3,0.8841025350833428,0.8842105263157894,0.3517734706401825,0.9055161114145276,0.8726315789473684,0.8887697668185472,1900.0,0.9329896907216496,0.9526315789473684,0.9427083333333334,1900.0,0.875627440044618,0.8263157894736842,0.8502572434335229,1900.0,0.8261296660117878,0.8852631578947369,0.8546747967479674,1900.0,0.8850657270481457,0.8842105263157896,0.8841025350833427,7600.0,0.8850657270481458,0.8842105263157894,7600.0
Gaussian,LSTM,In-Distribution,2024-12-15 02:12:17.743624,2598.0381491184235,4,0.101929208229268,0.2509210526315789,1.3863176107406616,0.2502964036358846,1.0,0.4003793067116216,1900.0,0.0,0.0,0.0,1900.0,0.0,0.0,0.0,1900.0,0.875,0.0036842105263157,0.0073375262054507,1900.0,0.2813241009089711,0.2509210526315789,0.101929208229268,7600.0,0.2813241009089711,0.2509210526315789,7600.0
Gaussian,LSTM,In-Distribution,2024-12-15 03:15:14.557527,3766.747057914734,5,0.8773927256701425,0.8775,0.3552913963794708,0.9010011123470524,0.8526315789473684,0.8761492698756084,1900.0,0.9271794871794872,0.9515789473684212,0.9392207792207792,1900.0,0.8349766476388168,0.8468421052631578,0.8408675202508491,1900.0,0.8477922077922078,0.8589473684210527,0.8533333333333333,1900.0,0.877737363739391,0.8775,0.8773927256701426,7600.0,0.877737363739391,0.8775,7600.0
Gaussian,LSTM,In-Distribution,2024-12-15 04:48:18.067040,5572.5985379219055,6,0.8817509703444485,0.8817105263157895,0.3609016239643097,0.900163666121113,0.868421052631579,0.8840075006697027,1900.0,0.938871473354232,0.9457894736842104,0.9423177766124802,1900.0,0.8450184501845018,0.8436842105263158,0.8443508032657361,1900.0,0.8440695296523517,0.8689473684210526,0.8563278008298755,1900.0,0.8820307798280496,0.8817105263157895,0.8817509703444486,7600.0,0.8820307798280497,0.8817105263157895,7600.0
Gaussian,LSTM,In-Distribution,2024-12-15 06:04:12.855254,4544.005663871765,7,0.877864887028405,0.8776315789473684,0.3527354598045349,0.8856226616782469,0.8721052631578947,0.8788119862105542,1900.0,0.9508547008547008,0.936842105263158,0.943796394485684,1900.0,0.8347280334728033,0.84,0.8373557187827912,1900.0,0.8416452442159383,0.861578947368421,0.8514954486345904,1900.0,0.8782126600554223,0.8776315789473683,0.8778648870284049,7600.0,0.8782126600554224,0.8776315789473684,7600.0
Gaussian,LSTM,In-Distribution,2024-12-15 07:18:20.273581,4437.43985414505,8,0.878799059982273,0.8789473684210526,0.3636583387851715,0.8813025210084033,0.8831578947368421,0.8822292323869612,1900.0,0.937044745057232,0.9478947368421052,0.9424385138670852,1900.0,0.8444092827004219,0.8426315789473684,0.8435194942044257,1900.0,0.8519701810436635,0.8421052631578947,0.8470089994706194,1900.0,0.8786816824524302,0.8789473684210527,0.8787990599822729,7600.0,0.8786816824524302,0.8789473684210526,7600.0
Gaussian,LSTM,In-Distribution,2024-12-15 08:25:02.817847,3992.502217054367,9,0.8792558223115118,0.8789473684210526,0.3579312562942505,0.919819311123659,0.8573684210526316,0.8874965949332606,1900.0,0.9387434554973824,0.9436842105263158,0.9412073490813648,1900.0,0.8253407370015143,0.8605263157894737,0.8425663488791548,1900.0,0.8374613003095975,0.8542105263157894,0.8457529963522668,1900.0,0.8803412009830383,0.8789473684210526,0.8792558223115117,7600.0,0.8803412009830383,0.8789473684210526,7600.0
Gaussian,LSTM,In-Distribution,2024-12-15 09:39:26.001266,4452.2042717933655,10,0.8765814717508654,0.8760526315789474,0.3587569892406463,0.8843063738618104,0.8689473684210526,0.8765595964958853,1900.0,0.9584699453551913,0.923157894736842,0.9404825737265416,1900.0,0.8223452440865626,0.86,0.8407512220221249,1900.0,0.8449895615866388,0.8521052631578947,0.8485324947589099,1900.0,0.8775277812225508,0.8760526315789474,0.8765814717508654,7600.0,0.8775277812225508,0.8760526315789474,7600.0
