strategy,model,evaluation_set,date_finished,training_time,fold,accuracy,loss,precision(0),recall(0),f1-score(0),support(0),precision(1),recall(1),f1-score(1),support(1),precision(2),recall(2),f1-score(2),support(2),precision(3),recall(3),f1-score(3),support(3),precision(4),recall(4),f1-score(4),support(4),precision(5),recall(5),f1-score(5),support(5),precision(6),recall(6),f1-score(6),support(6),precision(7),recall(7),f1-score(7),support(7),precision(8),recall(8),f1-score(8),support(8),precision(9),recall(9),f1-score(9),support(9),precision(macro avg),recall(macro avg),f1-score(macro avg),support(macro avg),precision(weighted avg),recall(weighted avg),f1-score(weighted avg),support(weighted avg)
Mixed,ResNet50,Saturate 3,2024-11-04 12:11:33.043215,1949.316257953644,5,0.8173,0.6775404810905457,0.7940379403794038,0.879,0.8343616516373992,1000.0,0.8867562380038387,0.924,0.9049951028403526,1000.0,0.8194905869324474,0.74,0.7777193904361533,1000.0,0.6754675467546755,0.614,0.643268727082242,1000.0,0.8099593495934959,0.797,0.8034274193548387,1000.0,0.7425531914893617,0.698,0.7195876288659793,1000.0,0.8458498023715415,0.856,0.8508946322067595,1000.0,0.8207461328480437,0.902,0.8594568842305861,1000.0,0.9407327586206896,0.873,0.9056016597510372,1000.0,0.8271375464684015,0.89,0.8574181117533719,1000.0,0.8162731093461899,0.8173,0.815673120815872,10000.0,0.8162731093461899,0.8173,0.815673120815872,10000.0
Mixed,ResNet50,Saturate 4,2024-11-04 12:11:40.114116,1949.316257953644,5,0.7658,0.8925272226333618,0.7169491525423729,0.846,0.7761467889908257,1000.0,0.8315018315018315,0.908,0.8680688336520077,1000.0,0.7022308438409312,0.724,0.7129492860659773,1000.0,0.5865865865865866,0.586,0.5862931465732866,1000.0,0.7856328392246295,0.689,0.7341502397442727,1000.0,0.7384428223844283,0.607,0.6663007683863885,1000.0,0.8010152284263959,0.789,0.7949622166246851,1000.0,0.8151750972762646,0.838,0.8264299802761342,1000.0,0.9367088607594936,0.814,0.8710540395933654,1000.0,0.7672336615935542,0.857,0.8096362777515352,1000.0,0.7681476924136488,0.7658,0.7645991577658477,10000.0,0.7681476924136489,0.7658,0.7645991577658479,10000.0
Mixed,ResNet50,Saturate 5,2024-11-04 12:11:46.925770,1949.316257953644,5,0.7091,1.1685742139816284,0.6422310756972112,0.806,0.7148558758314857,1000.0,0.7816901408450704,0.888,0.8314606741573034,1000.0,0.5874476987447699,0.702,0.639635535307517,1000.0,0.5113327289211242,0.564,0.5363766048502139,1000.0,0.746268656716418,0.6,0.6651884700665188,1000.0,0.740916271721959,0.469,0.5744029393753827,1000.0,0.7448132780082988,0.718,0.7311608961303462,1000.0,0.821917808219178,0.78,0.8004104669061057,1000.0,0.9323116219667944,0.73,0.8188446438586652,1000.0,0.7079796264855688,0.834,0.765840220385675,1000.0,0.7216908907326391,0.7091,0.7078176326869214,10000.0,0.7216908907326393,0.7091,0.7078176326869213,10000.0
Mixed,ResNet50,Shot Noise 1,2024-11-04 12:11:53.865850,1949.316257953644,5,0.8251,0.6389452219009399,0.8241965973534972,0.872,0.847424684159378,1000.0,0.9131313131313132,0.904,0.9085427135678392,1000.0,0.8566265060240964,0.711,0.7770491803278688,1000.0,0.7184579439252337,0.615,0.6627155172413793,1000.0,0.7735159817351598,0.847,0.8085918854415275,1000.0,0.7620578778135049,0.711,0.7356440765649249,1000.0,0.8325537885874649,0.89,0.860318994683422,1000.0,0.801762114537445,0.91,0.8524590163934426,1000.0,0.9202072538860104,0.888,0.9038167938931296,1000.0,0.8447146866230122,0.903,0.8728854519091348,1000.0,0.8247224063616738,0.8251,0.8229448314182047,10000.0,0.8247224063616737,0.8251,0.8229448314182047,10000.0
Mixed,ResNet50,Shot Noise 2,2024-11-04 12:12:00.647984,1949.316257953644,5,0.8211,0.6512583494186401,0.8368725868725869,0.867,0.8516699410609037,1000.0,0.9186164801627672,0.903,0.9107413010590016,1000.0,0.857487922705314,0.71,0.7768052516411379,1000.0,0.709154113557358,0.612,0.6570048309178743,1000.0,0.7455516014234875,0.838,0.7890772128060264,1000.0,0.7605177993527508,0.705,0.7317073170731707,1000.0,0.8189338235294118,0.891,0.853448275862069,1000.0,0.8054054054054054,0.894,0.84739336492891,1000.0,0.9152016546018614,0.885,0.8998474834773766,1000.0,0.8435754189944135,0.906,0.8736740597878496,1000.0,0.8211316806605357,0.8211,0.8191369038614319,10000.0,0.8211316806605357,0.8211,0.819136903861432,10000.0
Mixed,ResNet50,Shot Noise 3,2024-11-04 12:12:07.385053,1949.316257953644,5,0.8091,0.7046204805374146,0.8346693386773547,0.833,0.8338338338338338,1000.0,0.9175991861648016,0.902,0.9097327281896116,1000.0,0.8521850899742931,0.663,0.7457817772778403,1000.0,0.716183574879227,0.593,0.6487964989059081,1000.0,0.7202380952380952,0.847,0.7784926470588234,1000.0,0.7591160220994475,0.687,0.721259842519685,1000.0,0.764554794520548,0.893,0.8238007380073801,1000.0,0.8001816530426885,0.881,0.8386482627320324,1000.0,0.9139896373056996,0.882,0.8977099236641223,1000.0,0.8287795992714025,0.91,0.8674928503336511,1000.0,0.8107496991173558,0.8090999999999999,0.8065549102522889,10000.0,0.8107496991173558,0.8091,0.8065549102522889,10000.0
Mixed,ResNet50,Shot Noise 4,2024-11-04 12:12:14.266776,1949.316257953644,5,0.8009,0.7298079133033752,0.8273453093812375,0.829,0.8281718281718281,1000.0,0.912551440329218,0.887,0.8995943204868154,1000.0,0.8352941176470589,0.639,0.7240793201133146,1000.0,0.6991368680641183,0.567,0.6261733848702374,1000.0,0.7149009474590869,0.83,0.7681628875520592,1000.0,0.753880266075388,0.68,0.7150368033648791,1000.0,0.7523089840470193,0.896,0.817891373801917,1000.0,0.7946428571428571,0.89,0.839622641509434,1000.0,0.9098445595854924,0.878,0.8936386768447837,1000.0,0.8217821782178217,0.913,0.8649928943628612,1000.0,0.8021687527949298,0.8009000000000001,0.797736413107813,10000.0,0.8021687527949298,0.8009,0.797736413107813,10000.0
Mixed,ResNet50,Shot Noise 5,2024-11-04 12:12:21.147561,1949.316257953644,5,0.7848,0.8001102805137634,0.8335067637877211,0.801,0.8169301376848548,1000.0,0.9152016546018614,0.885,0.8998474834773766,1000.0,0.8469101123595506,0.603,0.7044392523364487,1000.0,0.6807151979565773,0.533,0.5978687605159843,1000.0,0.6913477537437605,0.831,0.7547683923705722,1000.0,0.7457434733257662,0.657,0.6985645933014355,1000.0,0.6902927580893683,0.896,0.7798085291557876,1000.0,0.7905711695376246,0.872,0.8292914883499762,1000.0,0.9088983050847458,0.858,0.882716049382716,1000.0,0.793733681462141,0.912,0.8487668683108424,1000.0,0.7896920869949117,0.7847999999999999,0.7813001554885994,10000.0,0.7896920869949118,0.7848,0.7813001554885993,10000.0
Mixed,ResNet50,Snow 1,2024-11-04 12:12:28.184309,1949.316257953644,5,0.8064,0.7290025353431702,0.8175803402646503,0.865,0.8406219630709426,1000.0,0.9276595744680852,0.872,0.8989690721649484,1000.0,0.8666666666666667,0.637,0.7342939481268012,1000.0,0.6845039018952063,0.614,0.647337901950448,1000.0,0.7332155477031802,0.83,0.7786116322701688,1000.0,0.7591397849462366,0.706,0.7316062176165803,1000.0,0.7846975088967971,0.882,0.8305084745762711,1000.0,0.7929792979297929,0.881,0.8346755092373283,1000.0,0.906054279749478,0.868,0.8866189989785495,1000.0,0.8152466367713005,0.909,0.8595744680851064,1000.0,0.8087743539291393,0.8064,0.8042818186077143,10000.0,0.8087743539291394,0.8064,0.8042818186077144,10000.0
Mixed,ResNet50,Snow 2,2024-11-04 12:12:34.760506,1949.316257953644,5,0.7779,0.8473768830299377,0.8070175438596491,0.828,0.8173741362290227,1000.0,0.9357696566998892,0.845,0.8880714661061482,1000.0,0.8746130030959752,0.565,0.6865127582017011,1000.0,0.6189495365602472,0.601,0.6098427194317606,1000.0,0.691389599317988,0.811,0.7464335020708699,1000.0,0.7367829021372329,0.655,0.6934886183165696,1000.0,0.7118780096308186,0.887,0.7898486197684772,1000.0,0.8020735155513666,0.851,0.8258127122755944,1000.0,0.8781512605042017,0.836,0.8565573770491803,1000.0,0.794351279788173,0.9,0.8438818565400844,1000.0,0.7850976307145541,0.7779,0.7757823765989409,10000.0,0.7850976307145542,0.7779,0.7757823765989408,10000.0
Mixed,ResNet50,Snow 3,2024-11-04 12:12:41.350072,1949.316257953644,5,0.7392,0.9998321533203124,0.7516401124648547,0.802,0.7760038703434929,1000.0,0.918552036199095,0.812,0.8619957537154989,1000.0,0.8761726078799249,0.467,0.6092628832354859,1000.0,0.551923076923077,0.574,0.5627450980392157,1000.0,0.6444058976582827,0.743,0.6901997213190897,1000.0,0.697228144989339,0.654,0.6749226006191951,1000.0,0.6878048780487804,0.846,0.7587443946188341,1000.0,0.758109360518999,0.818,0.7869167869167869,1000.0,0.8785871964679912,0.796,0.8352570828961176,1000.0,0.7521367521367521,0.88,0.8110599078341014,1000.0,0.7516560063287095,0.7392000000000001,0.7367108099537819,10000.0,0.7516560063287097,0.7392,0.7367108099537818,10000.0
Mixed,ResNet50,Snow 4,2024-11-04 12:12:48.326303,1949.316257953644,5,0.6948,1.1806342601776123,0.7028003613369467,0.778,0.7384907451352634,1000.0,0.8980070339976554,0.766,0.8267674042093902,1000.0,0.8319148936170213,0.391,0.5319727891156463,1000.0,0.4859663191659984,0.606,0.5393858477970628,1000.0,0.638623326959847,0.668,0.6529814271749756,1000.0,0.6370217166494312,0.616,0.6263345195729536,1000.0,0.6366585563665855,0.785,0.703090013434841,1000.0,0.7206439393939394,0.761,0.7402723735408561,1000.0,0.8314606741573034,0.74,0.783068783068783,1000.0,0.7400530503978779,0.837,0.7855466916940403,1000.0,0.7123149872042607,0.6948000000000001,0.6927910594743812,10000.0,0.7123149872042606,0.6948,0.6927910594743812,10000.0
Mixed,ResNet50,Snow 5,2024-11-04 12:12:55.097386,1949.316257953644,5,0.6973,1.161026954650879,0.7020157756354075,0.801,0.7482484820177489,1000.0,0.9045893719806763,0.749,0.8194748358862146,1000.0,0.8653846153846154,0.405,0.5517711171662125,1000.0,0.4457259158751696,0.657,0.5311236863379143,1000.0,0.6538860103626943,0.631,0.6422391857506361,1000.0,0.6703539823008849,0.606,0.6365546218487395,1000.0,0.6724587315377932,0.774,0.7196652719665272,1000.0,0.7547547547547547,0.754,0.754377188594297,1000.0,0.7924720244150559,0.779,0.7856782652546647,1000.0,0.7516099356025759,0.817,0.7829420220412076,1000.0,0.7213251117849628,0.6973,0.6972074676864162,10000.0,0.7213251117849628,0.6973,0.6972074676864162,10000.0
Mixed,ResNet50,Spatter 1,2024-11-04 12:13:01.769928,1949.316257953644,5,0.8148,0.6829102635383606,0.8227969348659003,0.859,0.8405088062622309,1000.0,0.9191402251791198,0.898,0.9084471421345474,1000.0,0.8547979797979798,0.677,0.7555803571428572,1000.0,0.7041763341067285,0.607,0.6519871106337272,1000.0,0.7540394973070018,0.84,0.7947019867549668,1000.0,0.7562568008705114,0.695,0.7243355914538822,1000.0,0.7972972972972973,0.885,0.8388625592417062,1000.0,0.7946666666666666,0.894,0.8414117647058823,1000.0,0.91124871001032,0.883,0.8969019807008635,1000.0,0.8363970588235294,0.91,0.8716475095785441,1000.0,0.8150817504925054,0.8148,0.8124384808609207,10000.0,0.8150817504925055,0.8148,0.8124384808609207,10000.0
